cycle: 0; nbPreys: 200; minEnergyPreys: 0.004675865911907273; maxSizePreys: 0.995083039717547; nbPredators: 20; minEnergyPredators: 0.1534336980977009; maxSizePredators: 0.8866667936406136
cycle: 1; nbPreys: 192; minEnergyPreys: 0.052715081598181765; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.1920387345301038; maxSizePredators: 1.0
cycle: 2; nbPreys: 184; minEnergyPreys: 0.101734689441319; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.48; maxSizePredators: 1.0
cycle: 3; nbPreys: 181; minEnergyPreys: 0.15173468944131896; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.45999999999999996; maxSizePredators: 1.0
cycle: 4; nbPreys: 172; minEnergyPreys: 0.20173468944131895; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.43999999999999995; maxSizePredators: 1.0
cycle: 5; nbPreys: 166; minEnergyPreys: 0.25173468944131894; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.42488415878408714; maxSizePredators: 1.0
cycle: 6; nbPreys: 166; minEnergyPreys: 0.301734689441319; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.4048841587840871; maxSizePredators: 1.0
cycle: 7; nbPreys: 168; minEnergyPreys: 0.1674488970010786; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.3848841587840871; maxSizePredators: 1.0
cycle: 8; nbPreys: 171; minEnergyPreys: 0.14549054459500604; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.3648841587840871; maxSizePredators: 1.0
cycle: 9; nbPreys: 167; minEnergyPreys: 0.15908089418885615; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.34488415878408707; maxSizePredators: 1.0
cycle: 10; nbPreys: 162; minEnergyPreys: 0.15431407400677075; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.3799999999999999; maxSizePredators: 1.0
cycle: 11; nbPreys: 156; minEnergyPreys: 0.11313760341853545; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.3599999999999999; maxSizePredators: 1.0
cycle: 12; nbPreys: 145; minEnergyPreys: 0.07392191714402564; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.33999999999999986; maxSizePredators: 1.0
cycle: 13; nbPreys: 144; minEnergyPreys: 0.12392191714402565; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.31999999999999984; maxSizePredators: 1.0
cycle: 14; nbPreys: 144; minEnergyPreys: 0.15668605634865365; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.2999999999999998; maxSizePredators: 1.0
cycle: 15; nbPreys: 138; minEnergyPreys: 0.13666701518324118; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.2799999999999998; maxSizePredators: 1.0
cycle: 16; nbPreys: 129; minEnergyPreys: 0.10514705882352925; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.32999999999999985; maxSizePredators: 1.0
cycle: 17; nbPreys: 132; minEnergyPreys: 0.06887254901960764; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.30999999999999983; maxSizePredators: 1.0
cycle: 18; nbPreys: 127; minEnergyPreys: 0.033578431372548775; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.2899999999999998; maxSizePredators: 1.0
cycle: 19; nbPreys: 123; minEnergyPreys: 0.08455882352941155; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.2699999999999998; maxSizePredators: 1.0
cycle: 20; nbPreys: 122; minEnergyPreys: 0.051225490196078166; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.2499999999999998; maxSizePredators: 1.0
cycle: 21; nbPreys: 120; minEnergyPreys: 0.019852941176470316; maxSizePreys: 1.0; nbPredators: 35; minEnergyPredators: 0.22999999999999982; maxSizePredators: 1.0
cycle: 22; nbPreys: 119; minEnergyPreys: 0.06985294117647031; maxSizePreys: 1.0; nbPredators: 39; minEnergyPredators: 0.20999999999999983; maxSizePredators: 1.0
cycle: 23; nbPreys: 112; minEnergyPreys: 0.07397304158286912; maxSizePreys: 1.0; nbPredators: 39; minEnergyPredators: 0.18999999999999984; maxSizePredators: 1.0
cycle: 24; nbPreys: 103; minEnergyPreys: 0.04456127687698669; maxSizePreys: 1.0; nbPredators: 39; minEnergyPredators: 0.16999999999999985; maxSizePredators: 1.0
cycle: 25; nbPreys: 104; minEnergyPreys: 4.4362981816330454E-4; maxSizePreys: 1.0; nbPredators: 39; minEnergyPredators: 0.14999999999999986; maxSizePredators: 1.0
cycle: 26; nbPreys: 94; minEnergyPreys: 0.048039215686274374; maxSizePreys: 1.0; nbPredators: 39; minEnergyPredators: 0.12999999999999987; maxSizePredators: 1.0
cycle: 27; nbPreys: 89; minEnergyPreys: 0.02156862745098021; maxSizePreys: 1.0; nbPredators: 39; minEnergyPredators: 0.10999999999999986; maxSizePredators: 1.0
cycle: 28; nbPreys: 84; minEnergyPreys: 0.07647058823529403; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.08999999999999986; maxSizePredators: 1.0
cycle: 29; nbPreys: 77; minEnergyPreys: 0.06133578431372549; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.06999999999999985; maxSizePredators: 1.0
cycle: 30; nbPreys: 72; minEnergyPreys: 0.03878676470588234; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.04999999999999985; maxSizePredators: 1.0
cycle: 31; nbPreys: 65; minEnergyPreys: 0.016237745098039158; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.02999999999999985; maxSizePredators: 1.0
cycle: 32; nbPreys: 56; minEnergyPreys: 0.06819852941176456; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.00999999999999985; maxSizePredators: 1.0
cycle: 33; nbPreys: 50; minEnergyPreys: 0.047610294117646904; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.006666666666666661; maxSizePredators: 1.0
cycle: 34; nbPreys: 52; minEnergyPreys: 0.028002450980391953; maxSizePreys: 1.0; nbPredators: 38; minEnergyPredators: 0.18999999999999984; maxSizePredators: 1.0
cycle: 35; nbPreys: 60; minEnergyPreys: 0.07800245098039196; maxSizePreys: 1.0; nbPredators: 38; minEnergyPredators: 0.16999999999999985; maxSizePredators: 1.0
cycle: 36; nbPreys: 61; minEnergyPreys: 0.12800245098039198; maxSizePreys: 1.0; nbPredators: 38; minEnergyPredators: 0.14999999999999986; maxSizePredators: 1.0
cycle: 37; nbPreys: 54; minEnergyPreys: 0.17800245098039197; maxSizePreys: 1.0; nbPredators: 38; minEnergyPredators: 0.12999999999999987; maxSizePredators: 1.0
cycle: 38; nbPreys: 49; minEnergyPreys: 0.22800245098039199; maxSizePreys: 1.0; nbPredators: 38; minEnergyPredators: 0.10999999999999986; maxSizePredators: 1.0
cycle: 39; nbPreys: 46; minEnergyPreys: 0.278002450980392; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.08999999999999986; maxSizePredators: 1.0
cycle: 40; nbPreys: 42; minEnergyPreys: 0.32800245098039205; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.06999999999999985; maxSizePredators: 1.0
cycle: 41; nbPreys: 38; minEnergyPreys: 0.3780024509803921; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.04999999999999985; maxSizePredators: 1.0
cycle: 42; nbPreys: 39; minEnergyPreys: 0.27291666666666675; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.02999999999999985; maxSizePredators: 1.0
